"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"XOnmXyXnglw","J7B000Ze","2026-04-27 22:20:19","2026-04-27 22:28:00","461","数据集市","ABJV7z","数字游戏产品评价研究","111.55.114.135","126.7616530","45.8380060","黑龙江省","哈尔滨市","MOBILE","Android","Chrome","360px*720px","块 3","1","1000","4","13902","","","1","1000","","","5","352268","6","331","2","8676","5","23669","5","360","7","850","6","330","5","818","5","329","6","859","5","1684","7","375","6","443","5","2203","68","6372","5","1312","6","307","5","1637","5","1025","6","400","5","789","6","319","5","885","1","1040","2","23682","3","2787","4","2949","3","9641"
"gnzdG9dRxY5","G7XZoAre","2026-04-27 22:24:10","2026-04-27 22:27:57","227","数据集市","ABJV7z","数字游戏产品评价研究","223.104.116.114","126.7825620","45.7559550","黑龙江省","哈尔滨市","MOBILE","Android","Chrome","360px*720px","块 3","1","1000","4","8265","","","1","1000","","","5","123576","6","358","3","13213","5","846","7","315","5","805","6","291","5","754","5","296","6","830","5","255","6","806","6","1808","5","281","68","1910","5","820","6","343","5","614","5","343","6","2482","6","650","5","2662","5","927","1","835","2","57910","3","1065","4","1528","4","1647"
"XOnmXyWrYyO","oe495r8M","2026-04-27 22:20:18","2026-04-27 22:27:52","454","数据集市","ABJV7z","数字游戏产品评价研究","117.61.192.231","126.5878520","45.8085120","黑龙江省","哈尔滨市","MOBILE","Android","Chrome","360px*720px","块 4","1","1000","3","13060","","","","","1","1000","6","218878","5","440","2","73318","5","7381","6","1072","5","756","5","949","6","1241","5","362","5","884","6","385","5","857","5","821","6","784","68","7494","5","1456","6","375","5","748","5","346","6","900","5","2467","5","1380","6","1865","1","738","2","14587","3","959","4","2013","3","2298"
"bNp8v2vy2XR","QL0KDwJ7","2026-04-27 22:22:40","2026-04-27 22:27:40","300","数据集市","ABJV7z","数字游戏产品评价研究","223.104.72.220","121.4952680","31.2417010","上海市","市辖区","MOBILE","Android","Chrome","360px*640px","块 3","1","1000","3","68216","","","1","1000","","","7","9422","7","1387","1","890","1","1313","1","954","1","1499","2","344","6","860","5","987","7","879","6","476","5","1285","5","800","6","1410","43","2434","6","1377","6","430","5","872","6","2430","6","867","5","1940","3","1183","3","678","1","915","2","2777","3","476","2","1255","2","1278"
"lxol6dbgRv4","nePrxJ97","2026-04-27 22:22:46","2026-04-27 22:27:04","258","数据集市","ABJV7z","数字游戏产品评价研究","39.144.239.235","117.1770280","31.8320230","安徽省","合肥市","MOBILE","Android","Chrome","384px*854px","块 2","1","1000","4","2690","1","1000","","","","","6","43753","5","2142","7","3608","2","1784","2","1622","3","3123","2","4155","6","1261","6","2966","7","3747","7","1788","5","888","7","3445","6","4065","109","7846","7","9986","7","1103","6","901","7","2949","5","2862","6","2940","5","2656","5","3021","1","4012","1","13138","2","450","3","1035","4","2650"
"XOnmXpVPv6d","JekvXjjL","2026-04-27 22:15:52","2026-04-27 22:26:57","665","数据集市","ABJV7z","数字游戏产品评价研究","39.144.50.180","115.8995078","37.3613491","河北省","石家庄市","MOBILE","iOS","Apple WebKit","393px*852px","块 4","1","1000","3","3970","","","","","1","1000","6","131064","2","156442","1","97270","5","3104","6","850","6","1282","7","1780","5","1137","5","1342","6","1099","7","8354","6","799","6","143932","5","1561","60","4683","6","944","7","1760","5","2463","6","1165","6","1397","4","4326","5","2198","6","1514","1","1164","2","1331","2","783","3","1080","2","1316"
"XOnmXA4WWo8","5Lw52pnM","2026-04-27 22:20:21","2026-04-27 22:26:18","357","数据集市","ABJV7z","数字游戏产品评价研究","111.55.209.209","121.4694475","31.2329683","广东省","东莞市","TABLET","iOS","Apple WebKit","810px*1080px","块 2","1","1000","3","74754","1","1000","","","","","1","12880","1","1610","1","517","5","1532","6","1850","5","1275","5","329","2","1936","2","1133","1","1573","3","1001","3","524","2","1061","3","1337","35","3215","6","1216","6","1638","7","515","6","599","5","872","5","534","6","845","5","880","1","1034","1","34156","2","990","2","1175","2","1601"
"bNp8xPlXmVn","Mx2qmGrL","2026-04-27 22:18:40","2026-04-27 22:25:17","397","数据集市","ABJV7z","数字游戏产品评价研究","150.223.192.114","111.6210030","40.7957010","内蒙古自治区","呼和浩特市","MOBILE","Android","Chrome","360px*640px","块 4","1","1000","3","14093","","","","","1","1000","7","180459","6","872","1","872","6","36509","7","735","7","654","6","1355","4","42096","5","1713","3","1550","5","1632","5","1656","6","1089","5","1703","68","6834","4","47560","5","527","5","1280","4","1247","5","1169","5","2887","6","1913","5","1487","1","640","2","32609","6","4271","1","2049","2","1559"
"mnZ5G8QbJzz","e3BQbKaL","2026-04-27 22:18:59","2026-04-27 22:25:15","376","数据集市","ABJV7z","数字游戏产品评价研究","223.244.25.175","117.5410010","31.8063000","安徽省","合肥市","MOBILE","Android","Chrome","360px*640px","块 3","1","1000","4","2670","","","1","1000","","","7","165422","6","658","1","4384","6","30514","7","950","6","1830","6","2001","4","27368","5","2760","2","832","5","3728","5","39034","6","646","5","1480","68","4968","5","5610","6","573","6","2313","5","521","5","1281","6","1238","6","1224","5","672","1","2032","1","32449","3","6927","3","1695","3","17977"
"NRwaYjxbVBm","7BGzzwKL","2026-04-27 22:18:39","2026-04-27 22:25:15","396","数据集市","ABJV7z","数字游戏产品评价研究","113.250.160.240","106.3880010","29.4944010","重庆市","市辖区","MOBILE","Android","Chrome","360px*640px","块 3","1","1000","4","17959","","","1","1000","","","7","167549","6","868","1","8016","7","35775","6","660","6","638","7","1137","5","32568","4","1054","3","6768","6","1039","5","15226","6","1176","5","559","70","8817","5","27801","6","702","6","1210","5","1158","5","3859","6","1308","5","592","5","1178","1","1144","2","34946","5","5069","3","2903","2","1257"
"oBDxoQ4w8Dd","5LmoGo4M","2026-04-27 22:22:34","2026-04-27 22:25:05","151","数据集市","ABJV7z","数字游戏产品评价研究","39.144.168.4","115.9244680","28.5585590","江西省","南昌市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","2","2461","1","1000","","","","","2","10272","1","1292","2","985","6","2084","7","1095","7","1120","6","861","5","857","6","960","5","1752","7","1037","6","418","6","929","6","1004","60","2825","7","1669","6","764","6","697","7","873","7","1044","6","462","5","1681","5","1571","1","791","1","2355","2","409","3","1513","2","1417"
"NRwaYz9BjaB","eNQ50VgL","2026-04-27 22:20:01","2026-04-27 22:24:44","283","数据集市","ABJV7z","数字游戏产品评价研究","39.144.248.247","119.0390060","25.5079230","福建省","莆田市","MOBILE","Android","Chrome","360px*792px","块 3","1","1000","5","1617","","","1","1000","","","7","10982","5","3760","6","4439","7","2170","7","1303","6","1168","7","3209","5","2979","6","1065","5","4000","6","1412","6","924","7","1289","6","2254","50","2110","5","2446","6","1589","7","2408","6","1759","6","1856","7","7055","4","5740","6","789","1","1234","1","1829","2","556","1","154380","5","4496"
"XOnm28pxWYo","kM11xn2M","2026-04-27 22:13:40","2026-04-27 22:24:00","620","数据集市","ABJV7z","数字游戏产品评价研究","116.162.234.174","112.8110268","28.2451423","湖南省","长沙市","MOBILE","iOS","Apple WebKit","390px*844px","块 2","1","1000","3","89186","1","1000","","","","","1","149758","1","395","2","483","7","3823","6","780","6","653","6","2864","4","1336","4","4089","3","3589","5","556","5","333","5","2932","6","770","68","5717","6","5868","6","1491","7","668","7","597","5","3351","6","486","6","362","7","2071","1","1842","1","1492","2","414","3","919","4","5486"
"mnZ5G5r9w2K","LQ8J4KB7","2026-04-27 22:20:14","2026-04-27 22:23:36","202","数据集市","ABJV7z","数字游戏产品评价研究","36.28.141.9","120.8817700","30.0360360","浙江省","杭州市","MOBILE","Android","Chrome","393px*895px","块 3","1","1000","3","14650","","","1","1000","","","7","41838","7","3190","1","4945","7","8606","6","32633","7","4630","6","3694","7","2595","6","3308","6","2122","5","4100","5","1677","5","1469","6","4541","50","8181","7","5325","7","2075","6","1393","5","2442","6","3112","5","4277","4","4051","5","4662","1","5979","1","4681","3","2733","3","2677","3","5585"
"Q4yOwbyaPdd","M9X2KNve","2026-04-27 22:19:57","2026-04-27 22:23:28","211","数据集市","ABJV7z","数字游戏产品评价研究","111.167.192.39","117.2833110","39.1525070","天津市","市辖区","MOBILE","Android","Chrome","385px*793px","块 4","1","1000","3","2084","","","","","1","1000","7","3481","1","2689","6","1354","5","13490","5","1134","5","311","5","1899","6","1033","6","4753","6","2163","5","2217","5","1171","5","850","5","1147","68","2915","6","5469","6","1608","7","660","7","1554","6","997","6","1323","6","615","6","2440","1","851","2","2297","4","647","4","1125","2","980"
"XOnm2QERPNw","7YpXm8aM","2026-04-27 22:15:28","2026-04-27 22:22:51","443","数据集市","ABJV7z","数字游戏产品评价研究","183.164.103.182","117.3259015","31.7710323","安徽省","合肥市","MOBILE","iOS","Apple WebKit","390px*844px","块 4","1","1000","3","6061","","","","","1","1000","7","51846","1","24183","7","5694","4","16768","5","17610","6","4102","6","1199","5","7616","6","1402","7","1668","6","1934","5","7436","5","1953","6","3818","50","11545","6","2865","5","4820","7","14652","6","2619","5","5235","5","5219","7","18793","6","6070","1","4568","2","5822","3","1134","3","1334","3","4501"
"Q4yOwQApQ1b","2Md393de","2026-04-27 22:18:44","2026-04-27 22:22:48","244","数据集市","ABJV7z","数字游戏产品评价研究","39.163.117.191","114.3416670","34.4251380","河南省","开封市","MOBILE","Android","Chrome","360px*780px","块 2","1","1000","1","2231","1","1000","","","","","6","77758","5","6598","6","4101","6","12292","6","1702","5","5451","3","9663","5","7985","5","9618","6","1532","2","7071","3","2514","3","2654","5","12528","20","18061","5","8","6","990","6","1343","6","3374","3","9764","2","2571","3","13273","5","2530","1","1582","2","3795","4","2666","2","2227","1","14708"
"bNp8xwZrDmd","LwPVPa1e","2026-04-27 22:17:16","2026-04-27 22:22:35","319","数据集市","ABJV7z","数字游戏产品评价研究","113.73.228.67","113.3880560","22.5243180","广东省","中山市","MOBILE","Android","Chrome","359px*789px","块 3","1","1000","3","7091","","","1","1000","","","7","14586","7","18485","1","12522","4","27589","4","1329","4","2477","4","2644","5","10542","5","1174","6","3498","5","1978","5","7269","5","689","5","2204","68","25001","5","1951","6","31032","5","2735","5","6556","5","6535","5","6014","4","1316","4","9105","1","14368","2","63747","3","1111","3","1642","3","3956"
"nNPOVjxqKB0","WLGvp4j7","2026-04-27 22:20:10","2026-04-27 22:22:30","140","数据集市","ABJV7z","数字游戏产品评价研究","106.60.97.209","102.7658000","24.7462640","云南省","昆明市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","4","18786","1","1000","","","","","3","8674","1","525","2","850","5","947","7","2166","6","726","4","2128","5","425","7","1231","5","1475","6","1128","6","366","4","29385","6","413","68","2557","5","862","7","463","4","723","6","807","6","260","7","830","4","390","6","976","1","950","1","1176","3","648","4","1231","3","949"
"gnzdNqEPPwO","eNQ5x8qL","2026-04-27 22:16:00","2026-04-27 22:22:29","389","数据集市","ABJV7z","数字游戏产品评价研究","220.195.76.176","111.6940344","40.7963427","内蒙古自治区","呼和浩特市","MOBILE","iOS","Apple WebKit","393px*852px","块 3","1","1000","2","10275","","","1","1000","","","5","126019","6","3760","5","968","4","3620","5","55576","4","2299","4","2240","5","34903","4","1248","5","1085","5","25322","4","912","4","2601","5","2404","35","3497","5","2426","4","1004","4","1297","5","1516","5","1741","4","70700","5","3181","5","1968","1","1428","2","1234","2","21634","3","1196","2","2091"
"mnZ5G6KjZV4","LQ8Jv1B7","2026-04-27 22:18:20","2026-04-27 22:22:19","239","数据集市","ABJV7z","数字游戏产品评价研究","182.34.2.1","121.4167220","37.4923910","山东省","烟台市","MOBILE","Android","Chrome","350px*720px","块 2","1","1000","3","2361","1","1000","","","","","7","47939","6","2187","3","7233","3","16142","2","47775","2","965","2","485","6","3833","6","8103","7","6926","7","8009","7","569","7","2478","6","5815","50","17691","6","6253","7","1146","6","6829","7","483","6","6558","6","4196","5","7692","6","3799","1","2368","1","1873","4","1462","3","1634","2","14703"
"gnzdNQaNlVk","VMJvKnwM","2026-04-27 22:15:44","2026-04-27 22:22:06","382","数据集市","ABJV7z","数字游戏产品评价研究","223.104.67.153","113.2753150","23.1711710","广东省","广州市","MOBILE","Android","Chrome","370px*813px","块 3","1","1000","3","16771","","","1","1000","","","5","54469","6","62301","4","2817","6","2595","6","836","4","826","7","1437","4","2138","6","466","5","872","3","1252","2","966","1","1024","1","1475","10","4882","5","1571","7","829","6","635","4","1132","4","967","6","837","5","766","7","1108","1","516","2","103814","2","548","2","1325","2","2557"
"vNrB6K393Pb","M28JENlL","2026-04-27 22:19:26","2026-04-27 22:21:53","147","数据集市","ABJV7z","数字游戏产品评价研究","120.227.52.43","113.3722620","28.3404660","湖南省","长沙市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","5","3031","","","","","1","1000","6","53248","4","3422","5","1812","4","1607","5","3216","5","1108","6","2093","5","1155","6","1283","6","910","5","1138","4","1527","5","884","5","1284","50","4236","6","2748","5","786","6","1461","6","1353","5","2964","6","2562","5","1916","5","4206","1","5083","2","1879","2","382","3","7836","3","5937"
"NRwaY6vAV1v","p7YxX8Ma","2026-04-27 22:14:52","2026-04-27 22:21:47","415","数据集市","ABJV7z","数字游戏产品评价研究","120.239.172.163","113.4540020","22.3456050","广东省","中山市","MOBILE","Android","Chrome","360px*784px","块 3","1","1000","4","983","","","1","1000","","","7","7785","7","1446","1","14709","4","2662","4","8080","4","7175","3","2608","6","575","5","358","5","634","6","637","6","291","5","696","7","273","80","5334","5","4081","5","916","7","332","6","676","6","264","5","637","7","217","7","652","1","699","1","1351","2","336","3","734","3","819"
"NRwaY66vnDq","7BGPp8zL","2026-04-27 22:14:52","2026-04-27 22:21:42","410","数据集市","ABJV7z","数字游戏产品评价研究","116.162.93.133","113.0710490","28.2640200","湖南省","长沙市","MOBILE","Android","Chrome","393px*873px","块 3","1","1000","2","1950","","","1","1000","","","7","18834","7","6570","3","1357","6","2762","5","752","6","301","4","1397","6","682","6","697","5","826","7","836","5","885","5","1520","6","913","68","4288","6","747","6","459","7","1238","5","624","6","493","6","805","5","436","7","2812","1","8739","1","2676","6","493","2","1423","2","2042"
"nNPOVGDdXPd","7XAjqvDL","2026-04-27 22:15:12","2026-04-27 22:21:39","387","数据集市","ABJV7z","数字游戏产品评价研究","59.34.141.188","110.7151390","21.5800140","广东省","茂名市","MOBILE","Android","Chrome","393px*873px","块 4","1","1000","4","3394","","","","","1","1000","7","8650","3","1250","7","932","5","3937","5","340","4","1112","5","268","6","2283","5","644","6","331","4","2700","3","1135","3","785","4","989","30","5632","5","3592","6","552","5","1303","6","752","6","253","6","2073","4","2434","4","390","1","32978","1","3653","4","1092","4","1542","4","3166"
"XOnm2k92D4r","ekq45gB7","2026-04-27 22:15:48","2026-04-27 22:21:33","345","数据集市","ABJV7z","数字游戏产品评价研究","117.148.126.89","120.2559120","30.8748830","浙江省","湖州市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","4","2715","","","","","1","1000","7","13761","1","17428","7","1948","5","2252","6","2216","6","7660","6","5880","6","1413","6","1206","7","754","5","16405","5","2595","5","2006","5","2947","30","5466","5","2546","6","987","7","1440","7","1585","7","984","7","1024","6","1358","6","2562","1","1137","1","8933","2","521","3","1357","4","2102"
"nNPOVgGaW2m","ve8O8rxL","2026-04-27 22:15:48","2026-04-27 22:21:31","343","数据集市","ABJV7z","数字游戏产品评价研究","122.192.14.170","119.0523490","33.5653370","江苏省","淮安市","MOBILE","Android","Chrome","320px*712px","块 3","1","1000","4","9840","","","1","1000","","","6","62991","5","5327","2","4026","5","80174","6","24731","5","1251","5","1875","6","2868","5","3648","6","2621","6","1791","5","1635","6","1828","7","5550","68","41375","6","9832","5","1740","5","1270","6","1592","5","3110","6","1312","6","961","5","1652","1","1955","1","25125","3","4880","3","5950","5","16991"
"bNp8xmrZDqd","DMx1E097","2026-04-27 22:12:08","2026-04-27 22:21:29","561","数据集市","ABJV7z","数字游戏产品评价研究","116.130.194.183","117.1122670","39.1774290","天津市","市辖区","MOBILE","Android","Chrome","412px*915px","块 3","1","1000","2","4426","","","1","1000","","","7","73523","7","425","1","733","6","1098","6","784","5","16523","5","289","4","1420","4","3199","3","1981","5","7301","5","368","4","902","4","313","58","2329","6","8909","6","558","5","844","6","2027","5","1796","5","4877","4","987","4","2970","1","2375","2","3284","2","540","4","1224","2","1775"
"XOnm2DRgEpo","LVJG6mzL","2026-04-27 22:15:18","2026-04-27 22:21:21","363","数据集市","ABJV7z","数字游戏产品评价研究","223.160.224.191","116.6812045","24.3496919","广东省","广州市","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","858","","","1","1000","","","7","13688","7","5451","1","1002","5","1216","6","883","5","2267","5","1651","4","832","6","2368","7","2319","6","1515","6","1101","6","668","5","2900","100","9908","7","3213","6","652","6","984","5","1817","6","1115","6","951","7","1434","7","849","1","900","1","1550","3","333","4","1702","4","4085"
"oBDxo0jzk54","7j9dn0nM","2026-04-27 22:15:30","2026-04-27 22:21:19","349","数据集市","ABJV7z","数字游戏产品评价研究","14.219.60.144","113.2658230","23.1040640","广东省","广州市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","2","9583","1","1000","","","","","1","128546","1","1973","2","2945","6","30286","4","10894","4","2736","6","1824","3","11335","4","1812","2","7309","3","31111","4","1869","4","1524","3","2053","25","17424","4","1316","4","1462","2","1124","3","6865","3","1834","2","1214","3","1697","4","3537","1","1927","2","2370","4","1101","3","1439","2","5780"
"Q4yOwaG0o6q","veEjZgPM","2026-04-27 22:15:33","2026-04-27 22:21:16","343","数据集市","ABJV7z","数字游戏产品评价研究","223.104.67.195","113.2542165","23.0933444","广东省","广州市","MOBILE","iOS","Apple WebKit","414px*896px","块 4","1","1000","5","51349","","","","","1","1000","5","142045","6","231","5","288","2","1608","1","1075","3","908","2","401","6","1907","5","766","7","734","6","716","5","735","7","732","6","750","150","102486","5","20188","7","276","6","785","5","324","7","766","6","759","5","700","7","724","1","685","1","5673","3","1432","3","1191","4","1126"
"lxolEKYp0a4","27ar4rrL","2026-04-27 22:17:46","2026-04-27 22:21:15","209","数据集市","ABJV7z","数字游戏产品评价研究","116.169.4.194","104.2626520","30.5765770","四川省","成都市","MOBILE","Android","Chrome","407px*904px","块 4","1","1000","3","1536","","","","","1","1000","7","10256","1","1071","7","1870","6","5571","6","839","5","7119","6","3686","7","2423","7","3741","7","950","6","2649","5","1091","5","1285","6","1350","68","6201","7","1934","6","1322","7","1476","6","1542","7","5215","6","5227","7","1321","7","5495","1","1931","2","4607","3","1689","3","1632","3","3097"
"oBDxoJ22Q06","p7YljPlM","2026-04-27 22:13:18","2026-04-27 22:21:12","474","数据集市","ABJV7z","数字游戏产品评价研究","14.150.99.16","113.4721437","23.4088537","广东省","广州市","MOBILE","iOS","Apple WebKit","402px*874px","块 3","1","1000","5","2066","","","1","1000","","","7","27823","7","6420","1","1987","6","5829","7","432","7","950","6","2285","7","784","7","800","7","951","7","849","6","2635","7","1383","7","2734","50","8083","7","2790","7","2368","6","1432","6","1796","4","2117","5","2500","6","1389","7","2500","1","834","2","385185","2","477","3","1935","2","2350"
"XOnm203mk9B","o7j5ZQnM","2026-04-27 22:16:23","2026-04-27 22:21:05","282","数据集市","ABJV7z","数字游戏产品评价研究","163.179.63.155","113.3995250","22.5089120","广东省","茂名市","MOBILE","Android","Chrome","393px*851px","块 3","1","1000","4","1583","","","1","1000","","","7","62291","7","2740","1","704","2","5233","1","845","1","756","1","776","5","1069","3","1110","5","1119","6","829","5","2198","5","934","6","1048","40","1570","6","1669","7","575","6","841","6","904","5","2120","6","1446","3","2626","5","3101","1","1512","2","119593","3","3060","3","1163","4","1921"
"gnzdN6v9WgO","7BGznBKL","2026-04-27 22:13:57","2026-04-27 22:21:02","425","数据集市","ABJV7z","数字游戏产品评价研究","39.144.109.131","117.0150970","36.6269700","山东省","聊城市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","5","7325","","","","","1","1000","7","87934","3","25777","7","6160","6","5470","6","1504","6","1180","6","1073","6","1108","6","1052","6","942","6","1197","6","950","6","7614","6","3089","200","58476","6","3295","6","460","6","1617","6","1111","5","2507","6","594","6","1231","6","1276","1","3162","2","2910","2","949","3","2406","4","191201"
"oBDxoyyKdwn","VMJmpOJe","2026-04-27 22:14:40","2026-04-27 22:21:01","381","数据集市","ABJV7z","数字游戏产品评价研究","120.217.18.141","114.4021450","34.0519810","河南省","周口市","MOBILE","Android","Chrome","360px*791px","块 4","1","1000","4","1622","","","","","1","1000","6","11823","2","10107","5","4128","6","12127","5","3137","5","2509","6","2145","5","2097","7","1982","5","1045","6","1127","5","853","6","3677","5","395","80","19238","6","1513","7","852","5","911","6","1109","5","11606","5","1606","6","2636","6","1192","1","1669","2","3556","2","455","3","1238","4","2748"
"WPdNgDJkzg4","xLVjZPVL","2026-04-27 22:15:31","2026-04-27 22:20:58","327","数据集市","ABJV7z","数字游戏产品评价研究","223.104.78.208","113.5375363","23.0973321","广东省","广州市","MOBILE","iOS","Apple WebKit","414px*896px","块 3","1","1000","5","53773","","","1","1000","","","6","139348","7","771","5","649","2","20449","3","49422","1","315","2","866","6","1051","7","751","5","316","6","1791","5","791","7","1284","6","281","200","33676","5","6124","7","291","6","352","5","1271","6","693","7","707","5","319","6","767","1","776","2","7683","3","332","3","1490","4","968"
"mnZ5G1RpROx","LVJjmGzL","2026-04-27 22:16:53","2026-04-27 22:20:53","240","数据集市","ABJV7z","数字游戏产品评价研究","39.128.94.191","102.5090200","24.2401080","云南省","玉溪市","MOBILE","Android","Chrome","360px*792px","块 2","1","1000","3","2045","1","1000","","","","","1","101020","1","543","1","4999","6","620","7","509","6","1638","6","454","5","1878","5","1986","4","1097","5","4471","6","353","5","365","5","914","68","3948","4","1635","4","626","4","2571","6","2264","5","3613","6","680","4","1877","4","284","1","893","2","59277","3","686","3","1938","1","1465"
"oBDxoXK5PEN","Mr5Pp6Ve","2026-04-27 22:14:52","2026-04-27 22:20:49","357","数据集市","ABJV7z","数字游戏产品评价研究","223.91.110.13","112.8569220","33.0205840","河南省","南阳市","MOBILE","Android","Chrome","360px*792px","块 4","1","1000","2","35436","","","","","1","1000","7","173348","1","15899","7","13012","7","6925","6","6827","7","2666","7","1923","7","2302","6","5318","7","2540","6","2581","5","3306","4","16954","4","6825","68","13943","6","5371","7","1323","6","2175","7","2644","7","2740","6","5602","5","5750","5","4588","1","2148","2","2914","3","1184","3","1762","3","7699"
"nNPOVY0EWam","7j9A9gBM","2026-04-27 22:15:41","2026-04-27 22:20:48","307","数据集市","ABJV7z","数字游戏产品评价研究","36.159.236.200","117.2814040","31.8729310","安徽省","合肥市","MOBILE","Android","Chrome","388px*837px","块 3","1","1000","3","8505","","","1","1000","","","7","79026","6","37448","1","4855","4","22067","4","12286","5","16066","4","6732","6","4039","6","2855","7","7004","6","2231","6","4290","7","5453","6","2246","68","7531","7","5069","7","2385","6","2718","6","9899","7","9404","7","1888","7","1923","6","2849","1","1437","2","9974","5","24761","1","1422","2","8332"
"nNPOVNw25xn","ev9A0qNL","2026-04-27 22:18:19","2026-04-27 22:20:46","147","数据集市","ABJV7z","数字游戏产品评价研究","120.229.10.74","114.2114720","22.6433810","广东省","深圳市","MOBILE","iOS","Apple WebKit","320px*693px","块 4","1","1000","2","4337","","","","","1","1000","5","45914","4","24950","4","1636","5","2154","6","1637","5","2488","5","1070","6","2873","5","2469","5","2190","4","1853","4","2406","4","1319","5","2241","30","4627","5","8028","5","1370","5","6163","4","7983","5","800","5","3209","6","1257","6","2139","1","1368","2","1954","2","1033","2","1990","2","4357"
